Ministerium,Datum,Ort,Anlass,Begleitung
BMZ,24.01.2014,Davos,,
BMZ,04.-09.02.2014,Indien / Äthiopien,,
BMZ,16.-17.02.2014,Jordanien,,
BMZ,19.02.2014,Paris,,
BMZ,25.-27.02.2014,Israel / Jordanien,,
BMZ,13.-14.03.2014,Zentralafrika,,
BMZ,26.-31.03.2014,"Süd Sudan, Mali",,
BMZ,02-03.04.2014,Brüssel,,
BMZ,18.-19.05.2014,Brüssel,,
BMZ,10.-13.06.2014,Nigeria,,
BMZ,19.-20.06.2014,Moldau,,
BMZ,14.-15.07.2014,Florenz,,
BMZ,22.-25.09.2014,New York,,
BMZ,01.-02.10.2014,Irak,,
BMZ,12-13.10.2014,Ukraine,,
BMZ,22.-24.10.2014,China,,
BMZ,17.-19.11.2014,Afghanistan,,
BMZ,04.-09.12.2014,"Kolumbien, Peru",,
BMZ,11.-12.12.2014,Brüssel,,
BMZ,11.-15.03.2015,"Kongo, Kamerun, ZAR",,
BMZ,18.-20.03.2015,"Türkei, Libanon",,
BMZ,07.-10.04.2015,"Ghana, Liberia",,
BMZ,16.-18.04.2015,Washington,,
BMZ,26.05.2015,Brüssel,,
BMZ,27.-28.05.2015,"Kosovo, Serbien",,
BMZ,12.06.2015,Mailand,,
BMZ,12.-14.07.2015,Äthiopien,,
BMZ,18.-21.08.2015,Brasilien,,
BMZ,24.-27.09.2015,New York,,
BMZ,05.-08.10.2015,"Indien, Bangladesch",,
BMZ,26.10.2015,Luxemburg,,
BMZ,30.11.2015,Paris,,
BMZ,10.12.2015,Luxemburg,,
BMZ,13.-15.12.2015,"Eritrea, Ägypten",,
BMZ,02.-05.01.2016,Benin / Togo,,
BMZ,25.-29.01.2016,"Irak, Türkei, Jordanien",,
BMZ,31.01.-02.02.2016,Amsterdam,,
BMZ,04.02.2016,London,,
BMZ,25.-29.02.2016,"Marokko, Tunesien, Algerien",,
BMZ,28.03.-02.04.2016,Kenia Tansania Djibuti,,
BMZ,22.-23.05.2016,Istanbul,,
BMVg,13.01.2016,Frankreich,,
BMVg,20.01.2016,Frankreich,,
BMVg,20.01. - 21.01.2016,Türkei,,
BMVg,04.02. - 05.02.2016,Niederlande,,
BMVg,1 0.02. - 11.02.2016,Brüssel,,
BMVg,08.03. - 11.03.2016,Vereinigte Staaten von Amerika,,
BMVg,31 .03. - 01.04.2016,Vereinigte Staaten von Amerika,,
BMVg,04.04. - 06.04.2016,Mali,,
BMVg,07.04.2016,Frankreich,,
BMVg,15.04.2016,Slowakei,,
BMVg,18.04. - 19.04.2016,Luxemburg,,
BMVg,19.04. - 20.04.2016,Griechenland I Türkei,,
BMVg,02.05. - 03.05.2016,Osterreich,,
BMVg,29.05.2016,Frankreich,,
BMVg,14.06. - 15.06.2016,Brüssel,,
BMVg,1 0.01. - 12.01.2015,IRAK I Jordanien,,
BMVg,22.01. - 23.01.2015,Schweiz,,
BMVg,04.02. - 05.02.2015,Belgien,,
BMVg,11.03.2015,Polen,,
BMVg,20.03.2015,Belgien,,
BMVg,09.04.2015,Belgien,,
BMVg,13.04. - 15.04.2015,Estland I Lettland I Litauen,,
BMVg,19.04.- 20.04.2015,Vereinigte Staaten von Amerika,,
BMVg,24.04.2015,Polen,,
BMVg,27.04.2015,Polen,,
BMVg,27.04.- 28.04.2015,Niederlande I Belgien,,
BMVg,10.05.2015,Frankreich,,
BMVg,11.05. - 12.05.2015,Israel ·,,
BMVg,17.05.- 18.05.2015,Belgien,,
BMVg,25.05.- 31.05.2015,Indien I Singapur .,,
BMVg,04.06.2015,Rumänien I Tschechien,,
BMVg,11.06. - 13.06.2015,Ostereich,,
BMVg,18.06.2015,Polen,,
BMVg,24.06. - 25.06.2015,Belgien,,
BMVg,04.07.2015,Italien,,
BMVg,27.07.- 29.07.2015,Mali I Tunesien,,
BMVg,10.09.- 12.09.2015,Kanada,,
